Make,Model,Number.of.Engines,Weather.Condition,Purpose.of.flight,Event.Date,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Severity.Score,Year,Purpose_Grouped
Cessna,172M,1.0,Vmc,Personal,1985-01-02,0.0,0.0,0.0,5.0,0.0,1985,Personal
Piper,Pa-18-150,1.0,Vmc,Personal,1985-01-04,0.0,0.0,2.0,0.0,2.0,1985,Personal
Cessna,152,1.0,Vmc,Instructional,1985-01-06,0.0,0.0,0.0,2.0,0.0,1985,Instructional
Cessna,152,1.0,Vmc,Instructional,1985-01-08,0.0,0.0,1.0,0.0,1.0,1985,Instructional
Cessna,172N,1.0,Vmc,,1985-01-09,0.0,0.0,1.0,0.0,1.0,1985,Other
Cessna,172N,1.0,Vmc,Personal,1985-01-13,0.0,0.0,1.0,1.0,1.0,1985,Personal
Cessna,150,1.0,Vmc,Personal,1985-01-14,0.0,0.0,0.0,2.0,0.0,1985,Personal
Cessna,152,1.0,Imc,Personal,1985-01-19,0.0,0.0,2.0,0.0,2.0,1985,Personal
Cessna,152,1.0,Vmc,Instructional,1985-01-22,0.0,0.0,0.0,1.0,0.0,1985,Instructional
Cessna,152,1.0,Vmc,Instructional,1985-01-23,0.0,0.0,0.0,1.0,0.0,1985,Instructional
Cessna,152,1.0,Vmc,Personal,1985-01-26,2.0,0.0,0.0,0.0,10.0,1985,Personal
Cessna,152,1.0,Vmc,Instructional,1985-01-27,2.0,0.0,2.0,0.0,12.0,1985,Instructional
Cessna,172N,1.0,Vmc,Personal,1985-01-28,0.0,0.0,0.0,3.0,0.0,1985,Personal
Cessna,152,1.0,Vmc,Instructional,1985-02-02,0.0,0.0,0.0,1.0,0.0,1985,Instructional
Cessna,152,1.0,Vmc,Instructional,1985-02-08,0.0,0.0,0.0,1.0,0.0,1985,Instructional
Cessna,152,1.0,Vmc,Instructional,1985-02-09,0.0,1.0,1.0,0.0,4.0,1985,Instructional
Cessna,172,1.0,Vmc,Personal,1985-02-10,0.0,0.0,0.0,1.0,0.0,1985,Personal
Cessna,152,1.0,Vmc,Instructional,1985-02-13,0.0,0.0,1.0,0.0,1.0,1985,Instructional
Cessna,150,1.0,Vmc,Personal,1985-02-13,0.0,0.0,0.0,2.0,0.0,1985,Personal
Cessna,152,1.0,Vmc,Personal,1985-02-14,0.0,0.0,0.0,2.0,0.0,1985,Personal
Cessna,152,1.0,Vmc,Personal,1985-02-16,0.0,0.0,0.0,1.0,0.0,1985,Personal
Cessna,172M,1.0,Vmc,Personal,1985-02-16,0.0,0.0,0.0,1.0,0.0,1985,Personal
Piper,Pa-28-140,1.0,Vmc,Instructional,1985-02-16,0.0,0.0,0.0,1.0,0.0,1985,Instructional
Cessna,152,1.0,Vmc,Instructional,1985-02-16,0.0,0.0,0.0,1.0,0.0,1985,Instructional
Cessna,152,1.0,Vmc,Instructional,1985-02-16,0.0,0.0,1.0,0.0,1.0,1985,Instructional
Cessna,172N,1.0,Vmc,Personal,1985-02-17,0.0,0.0,3.0,0.0,3.0,1985,Personal
Cessna,172,1.0,Vmc,Personal,1985-02-17,0.0,0.0,0.0,3.0,0.0,1985,Personal
Cessna,152,1.0,Vmc,Instructional,1985-02-17,0.0,0.0,0.0,1.0,0.0,1985,Instructional
Cessna,172P,1.0,Vmc,Business,1985-02-18,0.0,1.0,0.0,0.0,3.0,1985,Business
Cessna,150,1.0,Vmc,Personal,1985-02-20,0.0,0.0,0.0,2.0,0.0,1985,Personal
Cessna,172,1.0,Vmc,Instructional,1985-02-20,0.0,0.0,0.0,1.0,0.0,1985,Instructional
Cessna,152,1.0,Vmc,Personal,1985-02-24,0.0,0.0,0.0,2.0,0.0,1985,Personal
Cessna,182,1.0,Vmc,Personal,1985-02-24,0.0,0.0,0.0,4.0,0.0,1985,Personal
Cessna,152,1.0,Vmc,Instructional,1985-02-24,0.0,0.0,0.0,1.0,0.0,1985,Instructional
Cessna,180,1.0,Vmc,Aerial Observation,1985-02-25,0.0,0.0,1.0,1.0,1.0,1985,Aerial Observation
Cessna,152,1.0,Imc,Personal,1985-02-26,3.0,0.0,0.0,0.0,15.0,1985,Personal
Cessna,152,1.0,Vmc,Instructional,1985-02-26,0.0,0.0,0.0,1.0,0.0,1985,Instructional
Cessna,152,1.0,Imc,Business,1985-03-01,1.0,0.0,0.0,0.0,5.0,1985,Business
Cessna,172,1.0,Vmc,Instructional,1985-03-01,0.0,0.0,0.0,1.0,0.0,1985,Instructional
Cessna,152,1.0,Vmc,Instructional,1985-03-01,0.0,0.0,0.0,1.0,0.0,1985,Instructional
Cessna,180,1.0,Vmc,Business,1985-03-02,0.0,0.0,0.0,1.0,0.0,1985,Business
Cessna,152,1.0,Vmc,Personal,1985-03-03,2.0,0.0,0.0,0.0,10.0,1985,Personal
Cessna,182,1.0,Vmc,Personal,1985-03-03,0.0,1.0,0.0,1.0,3.0,1985,Personal
Cessna,182,1.0,Vmc,Personal,1985-03-03,0.0,2.0,1.0,0.0,7.0,1985,Personal
Cessna,150,1.0,Vmc,Personal,1985-03-03,0.0,0.0,0.0,1.0,0.0,1985,Personal
Piper,Pa-28-140,1.0,Vmc,Instructional,1985-03-03,0.0,0.0,0.0,2.0,0.0,1985,Instructional
Cessna,150,1.0,Vmc,Personal,1985-03-03,0.0,0.0,1.0,0.0,1.0,1985,Personal
Cessna,172,1.0,Vmc,Personal,1985-03-04,0.0,0.0,1.0,2.0,1.0,1985,Personal
Cessna,152,1.0,Vmc,Personal,1985-03-04,0.0,0.0,0.0,1.0,0.0,1985,Personal
Cessna,152,1.0,Vmc,Personal,1985-03-04,0.0,0.0,0.0,2.0,0.0,1985,Personal
Cessna,180,1.0,Vmc,Personal,1985-03-05,0.0,0.0,0.0,1.0,0.0,1985,Personal
Cessna,152,1.0,Vmc,Personal,1985-03-06,0.0,0.0,0.0,1.0,0.0,1985,Personal
Cessna,182,1.0,Vmc,Instructional,1985-03-07,0.0,0.0,0.0,2.0,0.0,1985,Instructional
Cessna,172,1.0,Vmc,Personal,1985-03-07,0.0,0.0,0.0,2.0,0.0,1985,Personal
Cessna,152,1.0,Vmc,Instructional,1985-03-07,0.0,0.0,0.0,1.0,0.0,1985,Instructional
Cessna,182,1.0,Imc,Personal,1985-03-08,2.0,1.0,0.0,0.0,13.0,1985,Personal
Piper,Pa-28-140,1.0,Vmc,Personal,1985-03-09,0.0,2.0,1.0,0.0,7.0,1985,Personal
Piper,Pa-28-140,1.0,Vmc,Personal,1985-03-10,0.0,0.0,0.0,1.0,0.0,1985,Personal
Cessna,180,1.0,Vmc,Personal,1985-03-10,0.0,0.0,0.0,2.0,0.0,1985,Personal
Cessna,172N,1.0,Vmc,Personal,1985-03-10,0.0,0.0,0.0,1.0,0.0,1985,Personal
Cessna,172,1.0,Vmc,Personal,1985-03-12,0.0,0.0,0.0,2.0,0.0,1985,Personal
Cessna,152,1.0,Vmc,Instructional,1985-03-14,0.0,0.0,0.0,1.0,0.0,1985,Instructional
Cessna,152,1.0,Vmc,Instructional,1985-03-14,0.0,0.0,0.0,1.0,0.0,1985,Instructional
Cessna,152,1.0,Vmc,Personal,1985-03-14,0.0,0.0,0.0,2.0,0.0,1985,Personal
Cessna,172N,1.0,Vmc,Personal,1985-03-15,0.0,0.0,0.0,1.0,0.0,1985,Personal
Cessna,172P,1.0,Vmc,Personal,1985-03-16,0.0,0.0,0.0,2.0,0.0,1985,Personal
Piper,Pa-28-140,1.0,Vmc,Personal,1985-03-17,0.0,1.0,3.0,0.0,6.0,1985,Personal
